key	source	title	category	license	url
cree-language-of-the-plains	B.C. Open Collection	Cree: Language of the Plains: nēhiyawēwin: paskwāwi-pīkiskwēwin (University of Regina)	Language Learning	CC BY-NC-ND 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/92/formats/Cree_Language_of_the_Plains_PDF_fa6dbde4bb.pdf
bc-reads-adult-literacy-fundamental-english-reader-3-bccampus-44	B.C. Open Collection	BC Reads: Adult Literacy Fundamental English: Reader 3 (BCcampus)	Language Learning	CC BY 4.0	https://opentextbc.ca/abealfreader3/open/download?type=pdf
line-d-organizational-skills-competency-d-5-use-manufacturer-and-supplier-documentation-bccampus-226	B.C. Open Collection	Line D: Organizational Skills: Competency D-5: Use Manufacturer and Supplier Documentation (BCcampus)	Trades	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/226/formats/D_5_fb6f894e3d.pdf
block-g-green-thermal-systems-plumbing-apprenticeship-program-level-3-bccampus-394	B.C. Open Collection	Block G: Green Thermal Systems: Plumbing Apprenticeship Program Level 3 (BCcampus)	Trades	CC BY-NC-SA 4.0	https://opentextbc.ca/plumbing3g/open/download?type=pdf
analytical-chemistry-20-uc-davis-25	B.C. Open Collection	Analytical Chemistry 2.0 (UC Davis)	Biological-Physical Sciences	CC BY-NC-SA 3.0	https://cdn.collection.bccampus.ca/resources/textbooks/25/formats/Anal_Chem2_0_9bf12a499f.pdf
first-aid-for-canada-127	B.C. Open Collection	First Aid for Canada	Health and Medical	CC BY-SA 2.5	https://cdn.collection.bccampus.ca/resources/textbooks/127/formats/First_Aid_for_Canada_58fe49a3da.pdf
media-studies-101	B.C. Open Collection	Media Studies 101	Communication & Writing	CC BY 3.0	https://opentextbc.ca/mediastudies101/open/download?type=pdf
canadian-history-post-confederation-2nd-edition-bccampus-67	B.C. Open Collection	Canadian History: Post-Confederation - 2nd Edition (BCcampus)	Humanities	CC BY 4.0	https://opentextbc.ca/postconfederation2e/open/download?type=pdf
basic-hvac-bccampus-33	B.C. Open Collection	Basic HVAC (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/basichvac/open/download?type=pdf
canadian-history-pre-confederation-2nd-edition-bccampus-68	B.C. Open Collection	Canadian History: Pre-Confederation - 2nd Edition (BCcampus)	Humanities	CC BY 4.0	https://opentextbc.ca/preconfederation2e/open/download?type=pdf
communication-for-business-professionals-canadian-edition-ecampusontario-82	B.C. Open Collection	Communication for Business Professionals - Canadian Edition (eCampusOntario)	Communication & Writing	CC BY-SA 4.0	https://ecampusontario.pressbooks.pub/commbusprofcdn/open/download?type=pdf
combinatorics-an-upper-level-introductory-course-in-enumeration-graph-theory-and-design-theory-version-21-of-july-2022-university-of-lethbridge-383	B.C. Open Collection	Combinatorics: An Upper-level Introductory Course in Enumeration, Graph Theory and Design Theory - Version 2.1 of July 2022 (University of Lethbridge)	Math & Stats	CC BY-NC-SA 2.0	https://cdn.collection.bccampus.ca/resources/textbooks/383/formats/Combinatorics_e044032c44.pdf
scientific-inquiry-in-social-work	B.C. Open Collection	Scientific Inquiry in Social Work (Open Social Work Education )	Social Sciences	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/319/formats/Scientific_inquiry_in_social_work_web_PDF_e387dd30d8.pdf
from-msa-to-ca	B.C. Open Collection	From MSA to CA: A Beginner's Guide for Transitioning into Colloquial Arabic (Portland State University Library)	Language Learning	CC BY-NC 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/134/formats/From_MSA_to_CA_A_Beginners_Guide_for_Transitioning_into_Colloqu_bf6a0d3c29.pdf
the-ngo-handbook-bureau-of-international-information-programs-united-states-department-of-state-339	B.C. Open Collection	The NGO Handbook (Bureau of International Information Programs United States Department of State)	Business	Public Domain Mark	https://cdn.collection.bccampus.ca/resources/textbooks/339/formats/OTB_059_01_the_ngo_handbook_fe49da3a82.pdf
introduction-to-consumer-behaviour-bccampus-174	B.C. Open Collection	Introduction to Consumer Behaviour (BCcampus)	Business	CC BY-NC-SA 4.0	https://opentextbc.ca/introconsumerbehaviour/open/download?type=pdf
concepts-of-biology-1st-canadian-edition-bccampus-87	B.C. Open Collection	Concepts of Biology - 1st Canadian Edition (BCcampus)	Biological-Physical Sciences	CC BY 4.0	https://opentextbc.ca/biology/open/download?type=pdf
cellular-internet-of-things-for-practitioners	B.C. Open Collection	Cellular Internet of Things for Practitioners (British Columbia Institute of Technology)	Computer Science	CC BY-NC-SA 4.0	https://pressbooks.bccampus.ca/cellulariot/open/download?type=pdf
intermediate-algebra-and-trigonometry-bccampus-165	B.C. Open Collection	Intermediate Algebra and Trigonometry (BCcampus)	Math & Stats	CC BY-NC 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/165/supplementary/Intermediate_Algebra_and_Trigonometry_Review_Answers_a91c331a93.pdf
essential-skills-companion-kit-for-culinary-arts-trades-training-bccampus-116	B.C. Open Collection	Essential Skills Companion Kit for Culinary Arts Trades Training (BCcampus)	Trades	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/116/formats/ESCKCATT_Woorkbook_Final_Reduced_723d52e248.pdf
bc-reads-adult-literacy-fundamental-english-course-pack-4-bccampus-39	B.C. Open Collection	BC Reads: Adult Literacy Fundamental English: Course Pack 4 (BCcampus)	Language Learning	CC BY 4.0	https://opentextbc.ca/abealf4/open/download?type=pdf
sets-logic-computation	B.C. Open Collection	Sets, Logic, Computation: An Open Introduction to Metalogic	Humanities	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/321/formats/OTB_216_01_Sets_Logic_Computation_An_Open_Logic_Introduction_to_Metalogic_Dec_2020_b896a420e0.pdf
naming-the-unnameable	B.C. Open Collection	Naming the Unnameable: An Approach to Poetry for New Generations (Open SUNY Textbooks)	Communication & Writing	CC BY-NC-SA 4.0	https://milnepublishing.geneseo.edu/naming-the-unnameable/open/download?type=pdf
introduction-to-drafting-and-autocad-2d-bccampus-176	B.C. Open Collection	Introduction to Drafting and AutoCAD 2D (BCcampus)	Engineering	CC BY 4.0	https://opentextbc.ca/autocad2d/open/download?type=pdf
greek-and-latin-roots	B.C. Open Collection	Greek and Latin Roots: Part I - Latin (University of Victoria)	Humanities	CC BY 4.0	https://pressbooks.bccampus.ca/greeklatinroots/open/download?type=pdf
web-accessibility-for-developers	B.C. Open Collection	Web Accessibility for Developers (The Chang School, Toronto Metropolitan University (formerly Ryerson University))	Computer Science	CC BY-SA 4.0	https://pressbooks.library.ryerson.ca/wafd/open/download?type=pdf
writing-for-strategic-communication-industries	B.C. Open Collection	Writing for Strategic Communication Industries (The Ohio State University)	Communication & Writing	CC BY-NC 4.0	https://ohiostate.pressbooks.pub/stratcommwriting/open/download?type=pdf
supporting-individuals-with-intellectual-disabilities-and-mental-illness-bccampus-330	B.C. Open Collection	Supporting Individuals with Intellectual Disabilities & Mental Illness (BCcampus)	Health and Medical	CC BY 4.0	https://opentextbc.ca/caregivers/open/download?type=pdf
getting-ready-for-work-integrated-learning-bccampus-384	B.C. Open Collection	Getting Ready for Work-Integrated Learning (BCcampus)	Academic-Career Success	CC BY-NC 4.0	https://opentextbc.ca/workintegratedlearning/open/download?type=pdf
fundamentals-of-nursing-pharmacology-a-conceptual-approach-1st-canadian-edition-bccampus-400	B.C. Open Collection	Fundamentals of Nursing Pharmacology: A Conceptual Approach - 1st Canadian Edition (BCcampus)	Health and Medical	CC BY 4.0	https://opentextbc.ca/nursingpharmacology/open/download?type=pdf
business-math-a-step-by-step-handbook-2018a-lyryx-58	B.C. Open Collection	Business Math: A Step-by-Step Handbook - 2018A (Lyryx)	Math & Stats	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/58/formats/Olivier_Business_Math_Basic_2018_Revision_A_Entire_Textbook_864fed5127.pdf
vital-sign-measurement-across-the-lifespan-2nd-canadian-edition-bccampus-359	B.C. Open Collection	Vital Sign Measurement Across the Lifespan - 2nd Canadian Edition (BCcampus)	Health and Medical	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/359/supplementary/Review_of_Vital_Sign_Measurement_1st_Ed_fed9efe36c.pdf
sight-reading-for-guitar	B.C. Open Collection	Sight-Reading for Guitar (Rebus Community )	Art and Design	CC BY 4.0	https://press.rebus.community/sightreadingforguitar/open/download?type=pdf
red-seal-landscape-horticulturist-identify-plants-and-plant-requirements-bccampus-315	B.C. Open Collection	Red Seal Landscape Horticulturist Identify Plants and Plant Requirements (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/plantidentification/open/download?type=pdf
adult-literacy-fundamental-mathematics-book-2-2nd-edition-bccampus-396	B.C. Open Collection	Adult Literacy Fundamental Mathematics: Book 2 - 2nd Edition (BCcampus)	Math & Stats	CC BY 4.0	https://opentextbc.ca/alfm2/open/download?type=pdf
modern-philosophy	B.C. Open Collection	Modern Philosophy	Humanities	CC BY-NC-SA 3.0	https://opentextbc.ca/modernphilosophy/open/download?type=pdf
beginning-excel-2019	B.C. Open Collection	Beginning Excel 2019 (Open Oregon Educational Resources)	Business	CC BY 4.0	https://openoregon.pressbooks.pub/beginningexcel19/open/download?type=pdf
nutrition-and-labelling-for-the-canadian-baker-bccampus-256	B.C. Open Collection	Nutrition and Labelling for the Canadian Baker (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/nutrition/open/download?type=pdf
bc-reads-adult-literacy-fundamental-english-reader-2-bccampus-43	B.C. Open Collection	BC Reads: Adult Literacy Fundamental English: Reader 2 (BCcampus)	Language Learning	CC BY 4.0	https://opentextbc.ca/abealfreader2/open/download?type=pdf
health-and-safety-in-canadian-workplaces	B.C. Open Collection	Health and Safety in Canadian Workplaces (Athabasca University Press)	Social Sciences	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/149/formats/Health_and_Safety_in_Canadian_Workplaces_2b569999d3.pdf
business-writing-for-everyone-kwantlen-polytechnic-university-59	B.C. Open Collection	Business Writing for Everyone (Kwantlen Polytechnic University)	Communication & Writing	CC BY-NC 4.0	https://kpu.pressbooks.pub/businesswriting/open/download?type=pdf
web-literacy-for-student-fact-checkers-361	B.C. Open Collection	Web Literacy for Student Fact-Checkers	Communication & Writing	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/361/formats/Web_Literacy_for_Student_Fact_Checkers_7e56a446e1.pdf
professional-communications-oer-module-2-writing-campus-alberta-293	B.C. Open Collection	Professional Communications OER: Module 2: Writing (Campus Alberta)	Communication & Writing	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/293/formats/e_Textbook_Part_2_Writing_978c9cdcc7.pdf
communications-in-law-enforcement-and-the-criminal-justice-system-key-principles-justice-institute-of-british-columbia-381	B.C. Open Collection	Communications in Law Enforcement and the Criminal Justice System: Key Principles (Justice Institute of British Columbia)	Law and Criminal Justice	CC BY-NC-SA 4.0	https://pressbooks.bccampus.ca/communicationinlawenforcement/open/download?type=pdf
introduction-to-psychology-university-of-saskatchewan-open-press-189	B.C. Open Collection	Introduction to Psychology (University of Saskatchewan Open Press)	Social Sciences	CC BY-NC-SA 4.0	https://openpress.usask.ca/introductiontopsychology/open/download?type=pdf
trigonometry-and-single-phase-ac-generation-for-electricians	B.C. Open Collection	Trigonometry and Single Phase AC Generation for Electricians (BCIT)	Trades	CC BY 4.0	https://pressbooks.bccampus.ca/trigforelectricians/open/download?type=pdf
information-systems-for-business-and-beyond-saylor-academy-163	B.C. Open Collection	Information Systems for Business and Beyond (Saylor Academy)	Business	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/163/formats/Information_Systems_for_Business_and_Beyond_4c5cffd10b.pdf
sustainability	B.C. Open Collection	Sustainability: A Comprehensive Foundation	Earth and Ocean Sciences	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/332/formats/sustainability_a_comprehensive_foundation_43_5_9bcca68d3d.pdf
presentation-software	B.C. Open Collection	Presentation Software (BCcampus)	Business	CC BY 4.0	https://opentextbc.ca/learningpowerpoint/open/download?type=pdf
empoword-a-student-centered-anthology-and-handbook-for-college-writers-portland-state-university-library-110	B.C. Open Collection	EmpoWord: A Student-Centered Anthology & Handbook for College Writers (Portland State University Library)	Communication & Writing	CC BY-NC 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/110/formats/Empo_Word_A_Student_Centered_Anthology_and_Handbook_for_College_Wri_fae36f5dad.pdf
a-first-course-in-linear-algebra-2021a-lyryx-5	B.C. Open Collection	A First Course in Linear Algebra - 2021A (Lyryx)	Math & Stats	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/5/formats/OTB_136_02_A_First_Course_in_Linear_Algebra_2021_A_Lyryx_f862fd60b3.pdf
clinical-procedures-for-safer-patient-care-thompson-rivers-university-edition	B.C. Open Collection	Clinical Procedures for Safer Patient Care - Thompson Rivers University Edition (Thompson Rivers University)	Health and Medical	CC BY 4.0	https://pressbooks.bccampus.ca/clinicalproceduresforsaferpatientcaretrubscn/open/download?type=pdf
mastering-strategic-management-1st-canadian-edition-bccampus-236	B.C. Open Collection	Mastering Strategic Management - 1st Canadian Edition (BCcampus)	Business	CC BY-NC-SA 4.0	https://opentextbc.ca/strategicmanagement/open/download?type=pdf
research-methods-in-psychology-4th-edition	B.C. Open Collection	Research Methods in Psychology - 4th Edition (Kwantlen Polytechnic University)	Social Sciences	CC BY-NC-SA 4.0	https://kpu.pressbooks.pub/psychmethods4e/open/download?type=pdf
in-the-workplace-an-intermediate-integrated-skills-textbook-bow-valley-college-161	B.C. Open Collection	In the Workplace: An Intermediate Integrated Skills Textbook (Bow Valley College)	Language Learning	CC BY-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/161/formats/itw_book_interactive_Jan2017_1_c358a1f9aa.pdf
professional-communications-oer-module-1-foundations-campus-alberta-292	B.C. Open Collection	Professional Communications OER: Module 1: Foundations (Campus Alberta)	Communication & Writing	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/292/formats/e_Textbook_Part1_Foundations_PDF_2f50c3fb74.pdf
mechanics	B.C. Open Collection	Mechanics	Biological-Physical Sciences	CC BY-SA 3.0	https://cdn.collection.bccampus.ca/resources/textbooks/240/formats/me_5a26d2d0bd.pdf
adult-literacy-fundamental-mathematics-book-5-2nd-edition-bccampus-410	B.C. Open Collection	Adult Literacy Fundamental Mathematics: Book 5  - 2nd Edition (BCcampus)	Math & Stats	CC BY 4.0	https://opentextbc.ca/alfm5/open/download?type=pdf
principles-of-social-psychology-1st-international-h5p-edition-bccampus-289	B.C. Open Collection	Principles of Social Psychology - 1st International H5P Edition (BCcampus)	Social Sciences	CC BY-NC-SA 4.0	https://opentextbc.ca/socialpsychology/open/download?type=pdf
math-for-trades-volume-1-bccampus-237	B.C. Open Collection	Math for Trades: Volume 1 (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/mathfortrades1/open/download?type=pdf
math-for-trades-volume-3-bccampus-378	B.C. Open Collection	Math for Trades: Volume 3 (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/mathfortrades3/open/download?type=pdf
current-and-emerging-computing-technology-bccampus-387	B.C. Open Collection	Current & Emerging Computing Technology (BCcampus)	Computer Science	CC BY 4.0	https://opentextbc.ca/comptech/open/download?type=pdf
line-d-organizational-skills-competency-d-2-apply-science-concepts-to-trades-applications-bccampus-223	B.C. Open Collection	Line D: Organizational Skills: Competency D-2: Apply Science Concepts to Trades Applications (BCcampus)	Trades	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/223/formats/D_2_99649ba9a4.pdf
professional-web-accessibility-auditing-made-easy	B.C. Open Collection	Professional Web Accessibility Auditing Made Easy (The Chang School, Toronto Metropolitan University (formerly Ryerson University))	Computer Science	CC BY-SA 4.0	https://pressbooks.library.ryerson.ca/pwaa/open/download?type=pdf
bc-reads-adult-literacy-fundamental-english-course-pack-6-bccampus-41	B.C. Open Collection	BC Reads: Adult Literacy Fundamental English: Course Pack 6 (BCcampus)	Language Learning	CC BY 4.0	https://opentextbc.ca/abealf6/open/download?type=pdf
introductory-chemistry-1st-canadian-edition-bccampus-199	B.C. Open Collection	Introductory Chemistry - 1st Canadian Edition (BCcampus)	Biological-Physical Sciences	CC BY-NC-SA 4.0	https://opentextbc.ca/introductorychemistry/open/download?type=pdf
building-blocks-of-academic-writing-bccampus-56	B.C. Open Collection	Building Blocks of Academic Writing (BCcampus)	Communication & Writing	CC BY-NC 4.0	https://opentextbc.ca/buildingblocks/open/download?type=pdf
introduction-to-philosophy-ethics-rebus-community-184	B.C. Open Collection	Introduction to Philosophy: Ethics (Rebus Community)	Humanities	CC BY 4.0	https://press.rebus.community/intro-to-phil-ethics/open/download?type=pdf
line-a-safe-work-practices-competency-a-4-describe-personal-safety-practices-bccampus-215	B.C. Open Collection	Line A: Safe Work Practices: Competency A-4: Describe Personal Safety Practices (BCcampus)	Trades	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/215/formats/A4_485eadd4b8.pdf
algorithms-and-data-structures-with-applications-to-graphics-and-geometry-global-text-project-22	B.C. Open Collection	Algorithms and Data Structures with Applications to Graphics and Geometry (Global Text Project)	Computer Science	CC BY 3.0	https://cdn.collection.bccampus.ca/resources/textbooks/22/formats/algorithms_and_data_structures_fe2bc1f8ae.pdf
calculus-based-physics-ii	B.C. Open Collection	Calculus-Based Physics II	Biological-Physical Sciences	CC BY-SA 2.5	https://cdn.collection.bccampus.ca/resources/textbooks/62/formats/cb_Physics_I_Ib24_717ea81855.pdf
bc-reads-adult-literacy-fundamental-english-course-pack-2-bccampus-37	B.C. Open Collection	BC Reads: Adult Literacy Fundamental English: Course Pack 2 (BCcampus)	Language Learning	CC BY 4.0	https://opentextbc.ca/abealf2/open/download?type=pdf
speaking-and-writing-punjabi-introductory-punjabi-workbook-kwantlen-polytechnic-university-324	B.C. Open Collection	Speaking and Writing Punjabi: Introductory Punjabi Workbook (Kwantlen Polytechnic University)	Language Learning	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/324/formats/2018_Pun1100_Course_Package_c1882bfdce.pdf
college-skills-intermediate-english-coast-mountain-college-79	B.C. Open Collection	College Skills: Intermediate English (Coast Mountain College)	Humanities	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/79/formats/OTB_197_01_College_Skills_Intermediate_English_0b1c9bf5cb.pdf
psychology-h5p-edition-bccampus-306	B.C. Open Collection	Psychology - H5P Edition (BCcampus)	Social Sciences	CC BY 4.0	https://opentextbc.ca/h5ppsychology/open/download?type=pdf
human-security-in-world-affairs-2nd-edition	B.C. Open Collection	Human Security in World Affairs: Problems and Opportunities - 2nd Edition (BCcampus &ampamp University of Northern British Columbia)	Social Sciences	CC BY-NC-SA 4.0	https://opentextbc.ca/humansecurity/open/download?type=pdf
introduction-to-philosophy-philosophy-of-religion-rebus-community-187	B.C. Open Collection	Introduction to Philosophy: Philosophy of Religion (Rebus Community)	Humanities	CC BY 4.0	https://press.rebus.community/intro-to-phil-of-religion/open/download?type=pdf
line-a-safe-work-practices-competency-a-3-handle-hazardous-materials-safely-bccampus-214	B.C. Open Collection	Line A: Safe Work Practices: Competency A-3: Handle Hazardous Materials Safely (BCcampus)	Trades	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/214/formats/A3_87a8eeb052.pdf
creating-online-learning-experiences-mavs-open-press-90	B.C. Open Collection	Creating Online Learning Experiences (Mavs Open Press)	Education	CC BY-NC 4.0	https://uta.pressbooks.pub/onlinelearning/open/download?type=pdf
introduction-to-drafting-and-autodesk-inventor-bccampus-178	B.C. Open Collection	Introduction to Drafting and Autodesk Inventor (BCcampus)	Engineering	CC BY 4.0	https://opentextbc.ca/autodesk/open/download?type=pdf
provisional-prosthodontic-series-2nd-edition	B.C. Open Collection	Provisional Prosthodontic Series - 2nd Edition (Okanagan College )	Health and Medical	CC BY-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/302/supplementary/PP_Theory_APE_7de44e0e5b.pdf
barbering-techniques-for-hairstylists-bccampus-30	B.C. Open Collection	Barbering Techniques for Hairstylists (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/barberingtechniquesforhairstylists/open/download?type=pdf
